,int.,,,,,,,,,
ID,CTL,24hr,6hr,3hr,,,,,,
PH_hs_0000190,3560.944444,10659.22222,11744.88889,9824.722222,,,,,,
PH_hs_0000191,50.22222222,49.55555556,34.66666667,25.66666667,,,,,,
PH_hs_0000192,4.333333333,3.222222222,2.888888889,2.555555556,,,,,,
PH_hs_0000193,42.07407407,52,31.55555556,29.5,,,,,,
PH_hs_0000195,5455.62963,6329.722222,4008.833333,4943.277778,,,,,,
PH_hs_0000196,11.88888889,13.5,7.277777778,5.666666667,,,,,,
PH_hs_0000197,21.92592593,29.38888889,21.94444444,24.66666667,,,,,,
PH_hs_0000198,13.44444444,14.38888889,16.66666667,17.55555556,,,,,,
PH_hs_0000199,453.7222222,336.3611111,637.2777778,548.1111111,,,,,,
PH_hs_0000200,110.1111111,83.55555556,92.55555556,88.5,,,,,,
PH_hs_0000201,957.2037037,2238.222222,1533.277778,1301.111111,,,,,,
PH_hs_0000202,8.37037037,10.66666667,8.555555556,11.61111111,,,,,,
PH_hs_0000203,190.2407407,182.8333333,199.6666667,164.2222222,,,,,,
PH_hs_0000204,3718.981481,2420.916667,3046.833333,3066.277778,,,,,,
PH_hs_0000205,276.2222222,263.4166667,273.2777778,335.7222222,,,,,,
PH_hs_0000206,27.81481481,30.33333333,45.33333333,48.27777778,,,,,,
PH_hs_0000207,11.66666667,11.72222222,13.77777778,10.61111111,,,,,,
PH_hs_0000208,52.7037037,59.61111111,58.44444444,77.55555556,,,,,,
PH_hs_0000209,59.85185185,72.02777778,62.44444444,65.83333333,,,,,,
PH_hs_0000210,22.85185185,23.61111111,22.16666667,23.22222222,,,,,,
PH_hs_0000211,28.62962963,23.5,19,25.11111111,,,,,,
PH_hs_0000212,94.25925926,68.44444444,77.88888889,53.88888889,,,,,,
PH_hs_0000213,29.81481481,28.75,31.11111111,30.66666667,,,,,,
PH_hs_0000214,15.07407407,12.16666667,14.33333333,17.66666667,,,,,,
PH_hs_0000215,2143.740741,1762.888889,2037.666667,1958.194444,,,,,,
PH_hs_0000216,156.4444444,198.1111111,127.2222222,115,,,,,,
PH_hs_0000217,1090.87037,1743.416667,2399.111111,1652.75,,,,,,
PH_hs_0000218,585.6111111,577.7222222,417.5555556,574.2222222,,,,,,
PH_hs_0000219,40.55555556,43.05555556,52.33333333,48.16666667,,,,,,
PH_hs_0000220,8.740740741,9.444444444,10.77777778,11.11111111,,,,,,
PH_hs_0000221,8.592592593,12.5,9.777777778,11.77777778,,,,,,
PH_hs_0000222,4.888888889,7.611111111,5.444444444,6.333333333,,,,,,
PH_hs_0000223,12.62962963,8.944444444,8.777777778,7.277777778,,,,,,
PH_hs_0000224,245,377.1944444,278.6666667,419.8611111,,,,,,
PH_hs_0000225,13.18518519,10.44444444,14.77777778,16.55555556,,,,,,
PH_hs_0000226,4097.092593,3426.694444,4746.527778,5015.75,,,,,,
PH_hs_0000227,90.59259259,115.0555556,106.9166667,134.3888889,,,,,,
PH_hs_0000231,2959.444444,2954.388889,2757.111111,2492,,,,,,
PH_hs_0000232,2.37037037,1.944444444,1.333333333,6.333333333,,,,,,
PH_hs_0000233,2103.62963,2047.083333,2709,2482.694444,,,,,,
PH_hs_0000234,16.25925926,17.88888889,16.22222222,9.777777778,,,,,,
PH_hs_0000235,162.6296296,250.2777778,305.5277778,386.0833333,,,,,,
PH_hs_0000236,17.22222222,15.22222222,16.22222222,15.38888889,,,,,,
PH_hs_0000237,875.2777778,771.4166667,654.4444444,828.4444444,,,,,,
PH_hs_0000238,7915.759259,6491.055556,5653.888889,4386.833333,,,,,,
PH_hs_0000239,30.48148148,33.83333333,35.22222222,27.55555556,,,,,,
PH_hs_0000240,8190.962963,4769.638889,8192.055556,8737.777778,,,,,,
PH_hs_0000241,268.9259259,252.7777778,284.7222222,315.9444444,,,,,,
PH_hs_0000242,6.962962963,2.666666667,7.944444444,1.944444444,,,,,,
PH_hs_0000243,354.2222222,140.3888889,54.11111111,53.77777778,,,,,,
PH_hs_0000244,453.8518519,247.5833333,320.1388889,362.3888889,,,,,,
PH_hs_0000245,7.555555556,6,5.833333333,2.666666667,,,,,,
PH_hs_0000248,46.25925926,38.02777778,63.05555556,43.38888889,,,,,,
PH_hs_0000249,1108.981481,1730.666667,1084.277778,1381.888889,,,,,,
PH_hs_0000250,9.074074074,7.666666667,10.22222222,11.11111111,,,,,,
PH_hs_0000251,150.6296296,111.1666667,68.72222222,119.2777778,,,,,,
PH_hs_0000252,372.037037,397.3333333,292.5555556,336.7777778,,,,,,
PH_hs_0000253,32.96296296,32.61111111,44.83333333,50.61111111,,,,,,
PH_hs_0000254,28.81481481,40.66666667,27.16666667,35.88888889,,,,,,
PH_hs_0000255,8323.37037,7090.805556,7249.111111,9032.944444,,,,,,
PH_hs_0000256,19.03703704,16.27777778,19.77777778,16.83333333,,,,,,
PH_hs_0000257,32.66666667,26.5,30.16666667,31.83333333,,,,,,
PH_hs_0000259,7.481481481,8.055555556,7.222222222,4.722222222,,,,,,
PH_hs_0000260,11.7037037,13,11.72222222,11.77777778,,,,,,
PH_hs_0000261,92.92592593,80.77777778,88.16666667,38.22222222,,,,,,
