probe id,Control,0.25mg-6hr,0.25mg-24hr,0.25mg-48hr,0.50mg-6hr,0.50mg-24hr,0.50mg-48hr,,,,,,,,,,,,,,,,,,,
PH_hs_0000093,7.555555556,6.428571429,4.80952381,7.26984127,8.746031746,5.412698413,5.682539683,,,,,,,,,,,,,,,,,,,
PH_hs_0000094,455.0873016,373.7222222,334.6269841,185.5714286,360.015873,238.1190476,269.7222222,,,,,,,,,,,,,,,,,,,
PH_hs_0000095,76.46031746,104.6031746,92.73015873,44.24603175,96.47619048,83.50793651,56.77777778,,,,,,,,,,,,,,,,,,,
PH_hs_0000096,4.841269841,4.682539683,5.761904762,5.428571429,5.714285714,103.2698413,5.03968254,,,,,,,,,,,,,,,,,,,
PH_hs_0000097,121.5873016,93.33333333,114.9047619,135.4126984,203.3095238,141.8253968,154.3015873,,,,,,,,,,,,,,,,,,,
PH_hs_0000098,2942.460317,2035.531746,2285.571429,2187.222222,3234.452381,1476.269841,2864.484127,,,,,,,,,,,,,,,,,,,
PH_hs_0000099,2.341269841,3.984126984,3.047619048,5.079365079,2.587301587,4.984126984,4.158730159,,,,,,,,,,,,,,,,,,,
PH_hs_0000100,19.36507937,20.03174603,23.3968254,25.17460317,22.04761905,28.85714286,17.79365079,,,,,,,,,,,,,,,,,,,
PH_hs_0000101,116.6349206,75.46031746,68.56349206,133.6190476,79.98412698,48.15873016,116.984127,,,,,,,,,,,,,,,,,,,
PH_hs_0000102,2.285714286,4.182539683,4.349206349,2298.984127,4.19047619,43.36507937,3.722222222,,,,,,,,,,,,,,,,,,,
PH_hs_0000103,2473.547619,1991.02381,1479.007937,1476.65873,1918.15873,905.047619,1984.849206,,,,,,,,,,,,,,,,,,,
PH_hs_0000104,19.87301587,16.68253968,13.19047619,28.98412698,17.12698413,106.7936508,29.91269841,,,,,,,,,,,,,,,,,,,
PH_hs_0000105,77.79365079,50.28571429,55.31746032,110.8571429,69.30952381,101.1904762,138.547619,,,,,,,,,,,,,,,,,,,
PH_hs_0000106,403.8571429,399.047619,408.6269841,339.0079365,357.484127,267.4761905,482.6190476,,,,,,,,,,,,,,,,,,,
PH_hs_0000107,1884.730159,451.4920635,520.4761905,1425.587302,541.0714286,599.6746032,1959.984127,,,,,,,,,,,,,,,,,,,
PH_hs_0000108,4.952380952,5.634920635,3.952380952,97.46031746,8.777777778,57.03174603,2.365079365,,,,,,,,,,,,,,,,,,,
PH_hs_0000109,147.3730159,133.2619048,143.3730159,110.8730159,164.8968254,169.515873,128.6111111,,,,,,,,,,,,,,,,,,,
PH_hs_0000110,0.968253968,2.682539683,5.333333333,3.079365079,3.746031746,8.80952381,2.777777778,,,,,,,,,,,,,,,,,,,
PH_hs_0000111,5711.190476,4612,3709.380952,3644.611111,3025.880952,3652.666667,3336.920635,,,,,,,,,,,,,,,,,,,
PH_hs_0000112,8.492063492,36.83333333,39.96825397,26.11111111,23.23809524,18.20634921,12.12698413,,,,,,,,,,,,,,,,,,,
