name,geneID,1460_6hr,1460_24hr,1461_6hr,1461_24hr,1460_6hr_log2,1460_24hrlog2,1461_6hr_log2,1461_24hr_log2
PRPF38B,PH_hs_0016616,161.9583333,136.6388889,148.9305556,194.1527778,-0.240465534,-0.485720088,-0.361448459,0.021104112
ZNF516,PH_hs_0048117,195.5416667,130.2777778,125.125,160.8611111,0.002769385,-0.583115654,-0.641336601,-0.27889108
CD44,PH_hs_0032595,250.7291667,226.3194444,224.7916667,309.5555556,-0.16913894,-0.316908231,-0.326680217,0.13492958
ZFP28,PH_hs_0001398,81.04166667,70.5,66.09722222,69.02777778,0.279896007,0.078855421,-0.014178194,0.048409203
PCDHB13,PH_hs_0035748,51,48.61111111,46.91666667,55.63888889,0.021373651,-0.047837486,-0.09902308,0.146970013
ATP7B,PH_hs_0027723,84.45833333,65.06944444,51.44444444,77.30555556,0.679068684,0.302809142,-0.036155807,0.551401003
PLEKHF2,PH_hs_0047657,465.875,557.6805556,509.5277778,621.2777778,-0.058041833,0.201454223,0.071176052,0.357253705
MEIS1,PH_hs_0010160,40.5,38,35.63888889,39.44444444,0.190102883,0.098180394,0.005633334,0.152003093
SLC38A3,PH_hs_0004414,280.5416667,221.7777778,209.8472222,267.4166667,1.793706264,1.454606019,1.374830571,1.724580589
DSP,PH_hs_0032773,36.66666667,38.61111111,33.47222222,35.22222222,0.09836513,0.172912083,-0.033139653,0.040381946
SERINC5,PH_hs_0060112,162.6666667,129.2777778,136.1111111,159.3333333,-0.057947349,-0.389391692,-0.315081154,-0.087817879
SCN9A,PH_hs_0000313,37.83333333,37.77777778,35.16666667,37.77777778,0.186303551,0.184183499,0.080854252,0.184183499
RFPL3|RFPL1|RFPL2,PH_hs_0049550,40.70833333,39.38888889,38.22222222,44,0.197505132,0.149969696,0.106592634,0.309684499
SEPHS2,PH_hs_0029120,2114.25,1825.263889,1821.069444,1963.958333,-0.163827693,-0.375868614,-0.379187733,-0.27020935
ILF2,PH_hs_0043189,6780.333333,5952.444444,5997.305556,6280.5,-0.131714723,-0.319588673,-0.308756446,-0.242191505
RREB1,PH_hs_0031988,143.5833333,114.625,119.5,153.8055556,-0.218319716,-0.543286278,-0.483197393,-0.119100396
PSD3,PH_hs_0024729,290.3333333,250.1388889,268.9444444,336.6944444,-0.177634077,-0.392614926,-0.288036108,0.036095621
MTMR6,PH_hs_0029001,55.22916667,48.27777778,43.77777778,49,-0.017848001,-0.21191909,-0.353079637,-0.190496611
LINC00845,PH_hs_0008621,38.33333333,38.36111111,35.86111111,39.25,0.110780431,0.111825483,0.014601164,0.144873629
CNKSR3,PH_hs_0001482,95.10416667,85.63888889,79.05555556,90.58333333,0.17340557,0.022163099,-0.093236129,0.10314265
ACPP,PH_hs_0024475,186.7916667,161.9027778,158.9166667,222.3055556,-0.142381001,-0.348683356,-0.375540657,0.108732908
SLC22A12,PH_hs_0010446,48.41666667,45.97222222,41.94444444,45.30555556,0.124402631,0.049661278,-0.082621389,0.028586843
DPP9,PH_hs_0040217,239.6875,689.9027778,441.5416667,344.9444444,0.296448003,1.821686399,1.177842916,0.821657355
PTCHD3,PH_hs_0033765,34.75,34.80555556,34.52777778,37.66666667,0.063658637,0.065963262,0.054403144,0.179934026
ATP6V1B1,PH_hs_0003994,141.25,109.4444444,113.375,128.2222222,0.228220351,-0.139831793,-0.088927965,0.088615801
MAPK12,PH_hs_0048082,245.625,219.5277778,180.9444444,191.6388889,0.245665517,0.083611611,-0.195245077,-0.112401537
